id,name,city,address_1,address_2,lat,lon
19863192,"Pact Coffee","London","Unit A404a, The Biscuit Factory, 100 Clement's Road, Bermondsey, SE16 4DG",,51.493675,-0.062911
19964452,"Corbet Place","London","Ely’s Yard,  Truman Brewery,  15 Hanbury St, E1 6QR",,51.520237,-0.073113
19977772,"Goldman Sachs, River Court, ","London","120 Fleet Street",,51.514179,-0.105747
19978922,"The Innovation Loft","London","69-89 Mile End Road, E1 4TT",,51.520901,-0.052804
20080402,"Ministry of Justice","London","102 Petty France",,51.499359,-0.136434
20128872,"The Betsey Trotswood","London","The Betsey Trotswood, 56 Farringdon Rd, EC1R 3BL",,51.523323,-0.107984
20142822,"ASOS Plc","London","Greater London House, Hampstead Road. London. NW1 7FB",,51.533401,-0.14602
20145332,"Furniture Makers' Hall","London","12 Austin Friars EC2N 2HE",,51.515919,-0.085648
20231302,"Furtherfield commons ","London","330 Seven Sisters Rd N4 2PF ",,51.568851,-0.09842
20246322,"University College London, Malet Place","London","WC1E 7JE",,51.522984,-0.13223
20247532,"UCL University, Darwin B40LT  Darwin Building","London","Gower Street   London  WC1E 6BT ",,51.524784,-0.133439
20272332,"London Marriott Hotel County Hall","London","London County Hall, Westminster Bridge Road",,51.498554,-0.111465
20291922,"Mediaocean Blue Fin Building","London","110 Southwark Street",,51.505764,-0.100136
20320582,"Idea London","London","69 Wilson St London EC2A 2BB ",,51.521976,-0.084831
20369222,"The Apartment at The Hoxton Hotel ","London","81 Great Eastern St, EC2A 3HU ",,51.525368,-0.0827
20464492,"Slug & Lettuce","London","19 Hanover St, London W1S 1YR",,51.513763,-0.141758
20485962,"Round Foundry Media Centre","Leeds","Foundry St, Leeds, LS11 5QP",,53.790806,-1.552252
20528932,"69 Wilson Street","EC2A 2BB","London",,51.521976,-0.084831
20619252,"3rd Floor, Campus London","London","4-5 Bonhill St, EC2A 4BX ",,51.522579,-0.085512
20619262,"3rd Floor, Campus London","London","4-5 Bonhill St, EC2A 4BX ",,51.522579,-0.085512
20641612,"OpenCredo Offices, , 5-11 Lavington Street","London","SE1 0NZ",,51.505302,-0.100214
20643012,"Google HQ  ","London","123 Buckingham Palace Road SW1W 9SH ",,51.493111,-0.146531
20661352,"Central Working ","London","69-89 mile end rd, e1 4tt",,51.520901,-0.052804
20775562,"Battersea Business Centre, 99-109 Lavender Hill","London","99-109 Lavender Hill SW11 5QL",,51.465496,-0.155165
20779532,"Royal Garden Hotel","London W8 4PT","2-24 Kensington High St",,51.502941,-0.188119
20812662,"Twitter UK ","London","20 Air Street, W1B 5AN",,51.510769,-0.136101
20874622,"Skills Matter","EC1V 7DP","116-120 Goswell Road",,51.524509,-0.098982
21123582,"Shoreditch Village Hall ","London","33 Hoxton Square - London, N1 6PB",,51.527145,-0.081472
21182952,"Moonfruit HQ Suite 200","London","50 Eastcastle Street London, England W1W 8EA",,51.516376,-0.138539
21183272,"Central Foundation Boys School","London","Cowper Street, London, EC2A 4SH",,51.525265,-0.085861
21290302,"Battersea  Park ","London","Battersea",,51.50642,-0.12721
